stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
ZER       Zermatt                              dkl010h0         MeteoSchweiz                                       7d45'/46d02'             624298/97574     1638
FRE       Bullet / La Frétaz                   fkl010h1         MeteoSchweiz                                       6d35'/46d50'             534225/188081    1205
FRE       Bullet / La Frétaz                   fkl010h0         MeteoSchweiz                                       6d35'/46d50'             534225/188081    1205
FRE       Bullet / La Frétaz                   dkl010h0         MeteoSchweiz                                       6d35'/46d50'             534225/188081    1205
CHA       Chasseral                            fkl010h1         MeteoSchweiz                                       7d03'/47d08'             570845/220157    1594
CHA       Chasseral                            fkl010h0         MeteoSchweiz                                       7d03'/47d08'             570845/220157    1594
CHA       Chasseral                            dkl010h0         MeteoSchweiz                                       7d03'/47d08'             570845/220157    1594
FAH       Fahy                                 fkl010h1         MeteoSchweiz                                       6d56'/47d25'             562464/252675    596
FAH       Fahy                                 fkl010h0         MeteoSchweiz                                       6d56'/47d25'             562464/252675    596
FAH       Fahy                                 dkl010h0         MeteoSchweiz                                       6d56'/47d25'             562464/252675    596
CDF       La Chaux-de-Fonds                    fkl010h1         MeteoSchweiz                                       6d48'/47d05'             550919/214861    1017
CDF       La Chaux-de-Fonds                    fkl010h0         MeteoSchweiz                                       6d48'/47d05'             550919/214861    1017
